menu,title,lat,lng,content,image,type,tl
カモ目,アカハジロ,,,珍しい海ガモ類。,アカハジロ.JPG,冬鳥,45cm
カモ目,オオヒシクイ,35.445590,136.189137,ガンの仲間のヒシクイの亜種です。琵琶湖水鳥センター前で越冬する一群を例年見ることができます。,オオヒシクイ.JPG,冬鳥,80cm
カモ目,オカヨシガモ,35.102411,135.947170,冬に飛来するカモです。写真はオス。,オカヨシガモ.JPG,冬鳥,50cm
カモ目,オシドリ,35.058089,135.778489,オシドリのオスです。,オシドリ.JPG,冬鳥,45cm
カモ目,オナガガモ,35.025389,135.771820,長い尾が特徴的なオナガガモのつがいです。,オナガガモ.JPG,冬鳥,
カモ目,カルガモ,35.241374,136.197152,伊吹山をバックに飛ぶカルガモです。,カルガモ.JPG,留鳥,
カモ目,キンクロハジロ,35.295008,136.257258,琵琶湖でたくさんの個体が越冬しています。,キンクロハジロ.JPG,冬鳥,
カモ目,コガモ,35.060401,135.781477,小型のカモ。,コガモ.JPG,冬鳥,
カモ目,コハクチョウ,35.483910,136.132425,ハクチョウです。,コハクチョウ.JPG,冬鳥,
カモ目,ハシビロガモ,35.101828,135.946861,口先が広がった形をしているカモです。藻などを濾しとって食べます。,ハシビロガモ.JPG,冬鳥,
カモ目,ヒドリガモ,35.374800,136.359191,オスは緋色の頭をしています。「ピューイ」と鳴きます。,ヒドリガモ.JPG,冬鳥,
カモ目,ホシハジロ,35.032521,135.913376,オスの頭は赤くておにぎり状です。,ホシハジロ.JPG,冬鳥,
カモ目,マガモ,35.034969,135.775149,マガモのエクリプスです。,マガモ.JPG,冬鳥-留鳥,
カモ目,ミコアイサ,35.424872,136.199386,遠すぎるミコアイサ。別名パンダガモ。,ミコアイサ.JPG,冬鳥,
カモ目,ヨシガモ,35.154008,136.105097,オスは美しい色彩の羽を持っています。,ヨシガモ.JPG,冬鳥,
